Nombre de la población;Población;Densidad (hab/km2);Saldo migratorio (Altas-Bajas);Paro registrado (31 marzo);Valor catastral por unidad urbana (miles euros);Bibliotecas públicas;Farmacias (por 10000 hab) (*);Turismos (por 1000 hab) (*);Estimación PIB per cápita (euros) (a);Indicador de Renta Disponible Bruta Municipal per cápita (euros) (a)
San Martín de Valdeiglesias;8463;72,67;-39;964;43,59;1;3,52;388,38;17163;12326,95
San Martín de la Vega;18835;179,09;-49;2061;163,17;1;2,10;453,72;19511;12512,35
San Sebastián de los Reyes;84944;1433,41;751;6040;131,07;3;3,00;468,92;36305;17392,66
Santa María de la Alameda;1199;15,84;4;119;23,14;0;8,25;523,50;18762;12114,10
Santorcaz;849;30,06;21;82;48,96;0;12,00;553,04;9208;12699,46
Santos de la Humosa (Los);2389;68,14;-42;202;54,32;0;4,09;484,59;9074;13382,66
Serna del Monte (La);86;15,58;-7;9;28,26;0;0,00;595,74;25431;11538,98
Serranillos del Valle;3994;306,29;35;354;154,35;0;2,53;1084,64;19483;13944,00
Sevilla la Nueva;8902;359,82;40;716;110,74;1;1,13;472,33;13345;14977,39
Somosierra;73;3,58;-3;8;27,49;0;0,00;675,00;17556;10021,61
Soto del Real;8456;197,29;8;522;133,47;1;3,54;486,53;24137;18901,55
Talamanca de Jarama;3371;87,54;74;311;80,82;1;3,06;473,91;13104;14076,17
Tielmes;2585;97,18;-34;284;35,93;1;3,82;430,63;18590;10946,81
Titulcia;1234;121,70;-37;129;45,36;0;7,93;526,02;10131;12333,83
Torrejón de Ardoz;126934;3918,93;490;12920;54,59;4;2,76;491,07;18790;13525,14
Torrejón de Velasco;4224;80,94;21;363;69,01;1;2,38;511,94;15694;13411,84
Torrejón de la Calzada;7901;880,82;124;638;128,77;1;1,29;531,07;27682;14361,14
Torrelaguna;4788;111,12;-6;397;43,37;1;2,07;1960,78;19797;13011,88
Torrelodones;23117;1066,28;147;922;195,08;2;2,19;507,41;17295;24217,89
Torremocha de Jarama;948;50,11;40;59;61,72;1;10,80;2095,71;16987;13865,04
Torres de la Alameda;7877;181,67;-67;810;116,46;1;2,52;484,53;23833;12809,32
Tres Cantos;43309;1140,91;643;2062;208,11;2;3,29;506,19;65185;22533,89
Valdaracete;639;10,01;-10;88;33,26;0;15,48;416,41;10667;9927,14
Valdeavero;1451;77,47;-51;119;56,00;0;6,78;488,22;14488;13418,72
Valdelaguna;837;19,89;-19;66;37,97;0;11,70;512,17;12479;11787,95
Valdemanco;922;51,80;-35;61;56,27;0;10,29;453,89;13188;13956,01
Valdemaqueda;786;15,19;-10;109;31,92;0;12,44;396,20;14834;11666,07
Valdemorillo;12173;129,64;128;736;151,82;1;2,49;532,23;14251;17754,86
Valdemoro;72854;1134,09;325;6468;101,58;3;2,08;400,13;22409;14838,34
Valdeolmos-Alalpardo;3785;146,31;66;220;69,14;0;2,71;455,07;18899;18647,50
Valdepiélagos;566;31,98;1;46;48,17;0;17,76;518,45;13952;12381,87
Valdetorres de Jarama;4234;120,59;16;448;98,33;0;2,37;488,46;14064;14131,11
Valdilecha;2838;66,65;-3;319;78,29;1;3,51;422,77;16442;11375,96
Valverde de Alcalá;441;32,07;7;38;78,32;0;22,78;643,50;18373;12857,40
Velilla de San Antonio;12382;861,06;-32;962;148,40;1;3,24;487,71;25047;14376,58
Vellón (El);1803;53,80;-12;183;54,83;0;5,51;489,83;11895;12520,93
Venturada;1991;194,62;32;106;96,24;0;5,08;3682,42;12930;21215,54
Villa del Prado;6414;82,96;-95;629;68,17;1;3,07;401,29;16835;11511,56
Villaconejos;3405;102,28;-33;407;49,61;1;2,90;489,48;13072;10351,13
Villalbilla;12351;355,73;292;810;127,35;2;2,52;553,65;13804;17368,62
Villamanrique de Tajo;720;24,32;1;76;31,55;0;13,55;1049,48;13946;10632,66
Villamanta;2525;39,91;59;228;76,60;0;3,99;457,98;17107;12301,21
Villamantilla;1292;53,97;36;117;97,33;0;8,06;419,35;15721;14386,88
Villanueva de Perales;1441;45,82;11;113;125,50;0;6,92;867,08;14497;13722,55
Villanueva de la Cañada;19250;553,32;321;933;175,18;1;2,12;473,08;18811;23302,94
Villanueva del Pardillo;16797;660,00;-43;998;55,85;1;1,20;410,95;11782;19339,29
Villar del Olmo;2058;74,03;8;136;51,36;0;4,80;563,33;11556;15887,19
Villarejo de Salvanés;7288;61,20;-37;744;52,23;1;2,74;431,99;21951;11614,56
Villaviciosa de Odón;27075;396,82;133;1324;209,19;1;2,60;565,37;23016;20702,28
Villavieja del Lozoya;280;12,01;9;17;25,18;0;36,36;420,29;11424;12284,04
Zarzalejo;1546;76,57;-11;145;49,61;0;6,32;459,82;21401;13209,29
